,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,816.0211645762125,5.414572096015047,11.055734952290853,0.09259018750041947,1000,10,8,log2,80,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 80, 'bootstrap': False}",-6.491365980230105,-7.994327962275712,-6.578929291476776,-7.021541077994198,0.6887924578766923,11
31,1495.3260315259297,39.72734969641436,6.947315057118733,0.1647198606535235,733,20,8,,100,True,"{'n_estimators': 733, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 100, 'bootstrap': True}",-6.689149461825826,-8.175653488198172,-6.822243998959187,-7.229015649661061,0.6715757276566534,38
32,546.2516777515411,5.0352173910271745,7.255404154459636,0.05681672990305396,644,20,2,sqrt,90,False,"{'n_estimators': 644, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': False}",-6.479598632833731,-8.001014298576047,-6.587116564539966,-7.022576498649915,0.6932509995919295,14
33,692.1474834283193,4.624179537877946,11.491910219192505,0.20319112421124141,733,5,2,sqrt,60,False,"{'n_estimators': 733, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-6.497534358508005,-8.009994236407444,-6.5957169963174795,-7.034415197077642,0.6910020762518492,25
34,1059.5702209472656,4.091398375937811,6.805399099985759,0.2518945256465785,733,10,1,0.5,20,False,"{'n_estimators': 733, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20, 'bootstrap': False}",-6.434446652479446,-8.069565507766944,-6.567912084771905,-7.023974748339431,0.7413493474983773,15
35,448.1563488642375,2.684450189239687,5.882189830144246,0.044171243255123054,555,20,8,sqrt,30,False,"{'n_estimators': 555, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-6.485595505401654,-7.9950420755165865,-6.583385121972873,-7.021340900963705,0.689667158983971,10
36,1890.654548883438,21.683699843789885,8.837174415588379,0.35828229060840355,911,20,8,,40,True,"{'n_estimators': 911, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': None, 'max_depth': 40, 'bootstrap': True}",-6.688815482281173,-8.173771441402195,-6.823654110196338,-7.228747011293236,0.6704967034577596,37
37,401.2970853646596,1.198753421580328,2.924233357111613,0.04330218741652138,1000,2,1,sqrt,10,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-6.776702840966207,-8.134597637118187,-6.757086569266129,-7.222795682450173,0.6447910787902075,36
38,460.1540852387746,10.604386713669518,8.306238333384195,0.2533915608054285,822,2,8,log2,40,True,"{'n_estimators': 822, 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': 40, 'bootstrap': True}",-6.4779825712768195,-7.999603965925766,-6.573329015624999,-7.016971850942528,0.6959152923355844,7
39,534.4031554063162,27.883296637134826,10.135983943939209,0.19573429990444602,822,10,1,sqrt,50,True,"{'n_estimators': 822, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",-6.482258862524969,-8.014706932029233,-6.577235347275011,-7.024733713943071,0.7010898005057423,18
